GITTER_ID_100m;x_mp_100m;y_mp_100m;durchschnMieteQM;AnzahlWohnungen;werterlaeuternde_Zeichen
CRS3035RES100mN3259300E4551400;4551450;3259350;801;5;NA
CRS3035RES100mN3259300E4551500;4551550;3259350;662;10;NA
CRS3035RES100mN3259300E4551600;4551650;3259350;754;3;NA
CRS3035RES100mN3259300E4551800;4551850;3259350;1262;3;NA
CRS3035RES100mN3259300E4551900;4551950;3259350;767;6;NA
CRS3035RES100mN3259300E4552000;4552050;3259350;1017;3;NA
CRS3035RES100mN3259300E4552100;4552150;3259350;835;31;NA
CRS3035RES100mN3259300E4552200;4552250;3259350;721;136;NA
CRS3035RES100mN3259300E4552300;4552350;3259350;886;8;NA
CRS3035RES100mN3259300E4552800;4552850;3259350;603;37;NA
CRS3035RES100mN3259300E4553000;4553050;3259350;1070;3;NA
CRS3035RES100mN3259300E4553100;4553150;3259350;841;15;NA
CRS3035RES100mN3259300E4553200;4553250;3259350;595;8;NA
CRS3035RES100mN3259300E4553300;4553350;3259350;735;71;NA
CRS3035RES100mN3259300E4553400;4553450;3259350;743;84;NA
CRS3035RES100mN3259300E4553500;4553550;3259350;734;27;NA
CRS3035RES100mN3259300E4553600;4553650;3259350;762;59;NA
CRS3035RES100mN3259300E4553700;4553750;3259350;683;137;NA
CRS3035RES100mN3259300E4553800;4553850;3259350;683;82;NA
CRS3035RES100mN3259300E4568200;4568250;3259350;1163;3;NA
CRS3035RES100mN3259400E4550100;4550150;3259450;739;6;NA
CRS3035RES100mN3259400E4550200;4550250;3259450;667;4;NA
CRS3035RES100mN3259400E4551100;4551150;3259450;803;10;NA
CRS3035RES100mN3259400E4551200;4551250;3259450;838;18;NA
CRS3035RES100mN3259400E4551900;4551950;3259450;703;4;NA
CRS3035RES100mN3259400E4552100;4552150;3259450;840;18;NA
CRS3035RES100mN3259400E4552200;4552250;3259450;229;5;KLAMMERN
CRS3035RES100mN3259400E4552400;4552450;3259450;951;7;NA
CRS3035RES100mN3259400E4552700;4552750;3259450;788;13;NA
CRS3035RES100mN3259400E4552800;4552850;3259450;664;17;NA
CRS3035RES100mN3259400E4553000;4553050;3259450;567;6;NA
CRS3035RES100mN3259400E4553100;4553150;3259450;679;8;NA
CRS3035RES100mN3259400E4553200;4553250;3259450;691;56;NA
CRS3035RES100mN3259400E4553300;4553350;3259450;743;39;NA
CRS3035RES100mN3259400E4553400;4553450;3259450;760;32;NA
CRS3035RES100mN3259400E4553600;4553650;3259450;830;23;NA
CRS3035RES100mN3259400E4553700;4553750;3259450;821;14;NA
CRS3035RES100mN3259400E4553800;4553850;3259450;590;11;NA
CRS3035RES100mN3259400E4563900;4563950;3259450;1042;4;NA
