GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Haushalte;1_Person;2_Personen;3_Personen;4_Personen;5_Personen;6_Personen_und_mehr
CRS3035RES100mN3258500E4567200;4567250;3258550;5;–;–;4;–;–;–
CRS3035RES100mN3258500E4567300;4567350;3258550;8;–;3;3;–;–;3
CRS3035RES100mN3258500E4567400;4567450;3258550;9;4;4;–;–;–;–
CRS3035RES100mN3258500E4567500;4567550;3258550;15;4;5;3;–;–;–
CRS3035RES100mN3258500E4569000;4569050;3258550;4;–;–;–;–;–;–
CRS3035RES100mN3258500E4569100;4569150;3258550;15;5;8;–;–;–;3
CRS3035RES100mN3258500E4569200;4569250;3258550;4;–;–;–;–;–;–
CRS3035RES100mN3258500E4569400;4569450;3258550;3;–;3;–;–;–;–
CRS3035RES100mN3258500E4569500;4569550;3258550;7;3;–;–;–;–;–
CRS3035RES100mN3258600E4536200;4536250;3258650;3;–;3;–;–;–;–
