GITTER_ID_100m;x_mp_100m;y_mp_100m;Insgesamt_Bevoelkerung;Unter18;a18bis29;a30bis49;a50bis64;a65undaelter
CRS3035RES100mN3258100E4551600;4551650;3258150;33;–;5;–;16;5
CRS3035RES100mN3258100E4551700;4551750;3258150;18;7;3;3;3;3
CRS3035RES100mN3258100E4551800;4551850;3258150;13;3;4;3;4;4
CRS3035RES100mN3258100E4551900;4551950;3258150;31;–;6;–;14;9
CRS3035RES100mN3258100E4552000;4552050;3258150;32;3;–;5;11;13
CRS3035RES100mN3258100E4552100;4552150;3258150;79;12;10;25;16;16
CRS3035RES100mN3258100E4552200;4552250;3258150;46;4;7;7;9;19
CRS3035RES100mN3258100E4552400;4552450;3258150;29;4;3;6;11;7
CRS3035RES100mN3258100E4552500;4552550;3258150;37;10;–;15;4;3
CRS3035RES100mN3258100E4552600;4552650;3258150;19;–;3;–;8;9
CRS3035RES100mN3258100E4552700;4552750;3258150;34;11;6;9;5;8
CRS3035RES100mN3258100E4552800;4552850;3258150;19;3;6;3;5;–
CRS3035RES100mN3258100E4552900;4552950;3258150;37;9;5;6;12;8
CRS3035RES100mN3258100E4553000;4553050;3258150;6;3;–;–;3;4
CRS3035RES100mN3258100E4553100;4553150;3258150;8;–;3;4;–;3
CRS3035RES100mN3258100E4553200;4553250;3258150;69;14;13;16;15;15
CRS3035RES100mN3258100E4553300;4553350;3258150;40;9;4;11;6;10
CRS3035RES100mN3258100E4553400;4553450;3258150;47;9;5;5;12;17
CRS3035RES100mN3258100E4553500;4553550;3258150;49;5;3;13;12;21
CRS3035RES100mN3258100E4553600;4553650;3258150;38;6;3;10;7;14
CRS3035RES100mN3258100E4553700;4553750;3258150;36;6;–;7;10;13
CRS3035RES100mN3258100E4553800;4553850;3258150;36;6;3;6;9;12
CRS3035RES100mN3258100E4553900;4553950;3258150;40;3;8;–;17;13
CRS3035RES100mN3258100E4554000;4554050;3258150;39;4;3;8;12;12
CRS3035RES100mN3258100E4566800;4566850;3258150;30;7;4;7;9;7
CRS3035RES100mN3258100E4566900;4566950;3258150;15;4;3;4;4;–
CRS3035RES100mN3258100E4569000;4569050;3258150;5;–;–;–;–;3
CRS3035RES100mN3258100E4569100;4569150;3258150;7;–;–;–;4;–
CRS3035RES100mN3258100E4569200;4569250;3258150;25;5;3;9;4;5
CRS3035RES100mN3258100E4569300;4569350;3258150;10;–;–;3;4;3
CRS3035RES100mN3258100E4569400;4569450;3258150;11;–;–;–;3;4
CRS3035RES100mN3258100E4569500;4569550;3258150;35;4;–;10;13;–
CRS3035RES100mN3258100E4569600;4569650;3258150;11;3;–;3;3;4
CRS3035RES100mN3258100E4569900;4569950;3258150;3;–;–;–;–;–
CRS3035RES100mN3258100E4572600;4572650;3258150;11;3;–;7;3;5
CRS3035RES100mN3258100E4572700;4572750;3258150;18;4;–;3;8;5
CRS3035RES100mN3258200E4551600;4551650;3258250;42;12;5;7;9;10
CRS3035RES100mN3258200E4551700;4551750;3258250;64;9;9;12;16;20
CRS3035RES100mN3258200E4551800;4551850;3258250;51;14;5;11;17;12
CRS3035RES100mN3258200E4551900;4551950;3258250;70;6;6;17;21;16
CRS3035RES100mN3258200E4552000;4552050;3258250;31;6;4;5;7;9
CRS3035RES100mN3258200E4552100;4552150;3258250;156;33;21;50;29;26
CRS3035RES100mN3258200E4552300;4552350;3258250;51;3;3;24;18;5
CRS3035RES100mN3258200E4552400;4552450;3258250;35;8;3;9;12;7
CRS3035RES100mN3258200E4552500;4552550;3258250;38;12;–;15;3;9
CRS3035RES100mN3258200E4552600;4552650;3258250;56;13;11;17;8;13
CRS3035RES100mN3258200E4552700;4552750;3258250;34;3;5;4;8;10
CRS3035RES100mN3258200E4553000;4553050;3258250;32;4;4;5;9;10
CRS3035RES100mN3258200E4553100;4553150;3258250;92;15;13;27;20;16
CRS3035RES100mN3258200E4553200;4553250;3258250;55;15;8;15;3;11
CRS3035RES100mN3258200E4553300;4553350;3258250;29;6;4;5;6;4
CRS3035RES100mN3258200E4553400;4553450;3258250;37;10;–;4;13;9
CRS3035RES100mN3258200E4553500;4553550;3258250;42;8;4;11;13;9
CRS3035RES100mN3258200E4553600;4553650;3258250;26;–;5;3;7;6
CRS3035RES100mN3258200E4553700;4553750;3258250;30;5;3;7;7;14
CRS3035RES100mN3258200E4553800;4553850;3258250;37;8;–;9;10;8
CRS3035RES100mN3258200E4553900;4553950;3258250;33;5;3;6;3;9
CRS3035RES100mN3258200E4554000;4554050;3258250;37;4;4;10;4;11
CRS3035RES100mN3258200E4566800;4566850;3258250;33;10;3;11;5;4
CRS3035RES100mN3258200E4566900;4566950;3258250;13;4;–;3;–;7
CRS3035RES100mN3258200E4567000;4567050;3258250;11;–;–;3;–;8
CRS3035RES100mN3258200E4569000;4569050;3258250;11;–;–;–;3;3
CRS3035RES100mN3258200E4569100;4569150;3258250;25;4;6;10;6;4
CRS3035RES100mN3258200E4569200;4569250;3258250;9;3;–;3;3;3
CRS3035RES100mN3258200E4569300;4569350;3258250;17;3;–;4;3;8
CRS3035RES100mN3258200E4569400;4569450;3258250;34;7;3;10;9;9
CRS3035RES100mN3258200E4569500;4569550;3258250;6;–;–;3;–;4
CRS3035RES100mN3258200E4572600;4572650;3258250;13;–;3;7;3;–
CRS3035RES100mN3258200E4572700;4572750;3258250;24;5;–;6;7;4
CRS3035RES100mN3258300E4551600;4551650;3258350;36;–;7;5;12;7
CRS3035RES100mN3258300E4551700;4551750;3258350;38;4;4;7;9;15
CRS3035RES100mN3258300E4551800;4551850;3258350;30;3;4;6;8;14
CRS3035RES100mN3258300E4551900;4551950;3258350;53;10;5;13;11;10
CRS3035RES100mN3258300E4552000;4552050;3258350;82;19;11;31;12;10
CRS3035RES100mN3258300E4552100;4552150;3258350;153;38;27;61;20;10
CRS3035RES100mN3258300E4552200;4552250;3258350;13;4;4;5;–;4
CRS3035RES100mN3258300E4552300;4552350;3258350;104;14;18;33;26;13
CRS3035RES100mN3258300E4552400;4552450;3258350;56;8;7;14;14;14
CRS3035RES100mN3258300E4552500;4552550;3258350;13;3;3;–;6;3
CRS3035RES100mN3258300E4552600;4552650;3258350;19;5;–;3;3;3
CRS3035RES100mN3258300E4552700;4552750;3258350;27;4;4;5;5;9
CRS3035RES100mN3258300E4552800;4552850;3258350;9;–;4;3;4;–
CRS3035RES100mN3258300E4553000;4553050;3258350;15;–;–;4;5;5
CRS3035RES100mN3258300E4553100;4553150;3258350;81;26;10;17;17;4
CRS3035RES100mN3258300E4553200;4553250;3258350;71;3;13;17;21;18
CRS3035RES100mN3258300E4553300;4553350;3258350;33;9;3;10;7;8
CRS3035RES100mN3258300E4553400;4553450;3258350;47;11;8;9;16;8
CRS3035RES100mN3258300E4553500;4553550;3258350;46;7;3;10;18;14
CRS3035RES100mN3258300E4553600;4553650;3258350;14;–;–;3;4;8
CRS3035RES100mN3258300E4553700;4553750;3258350;45;5;3;7;13;15
CRS3035RES100mN3258300E4553800;4553850;3258350;40;3;6;7;8;14
CRS3035RES100mN3258300E4553900;4553950;3258350;32;6;3;8;12;3
CRS3035RES100mN3258300E4554000;4554050;3258350;32;–;3;–;3;18
CRS3035RES100mN3258300E4554100;4554150;3258350;32;4;6;7;10;15
CRS3035RES100mN3258300E4566900;4566950;3258350;5;–;–;–;–;–
CRS3035RES100mN3258300E4567000;4567050;3258350;25;3;3;–;4;16
CRS3035RES100mN3258300E4567100;4567150;3258350;23;–;3;3;5;7
CRS3035RES100mN3258300E4567200;4567250;3258350;23;4;–;9;6;5
CRS3035RES100mN3258300E4569000;4569050;3258350;3;–;–;–;–;–
CRS3035RES100mN3258300E4569400;4569450;3258350;14;–;–;6;3;8
CRS3035RES100mN3258300E4572600;4572650;3258350;6;–;–;3;–;3
CRS3035RES100mN3258300E4572700;4572750;3258350;10;3;–;5;4;–
CRS3035RES100mN3258400E4551600;4551650;3258450;47;4;6;8;5;24
CRS3035RES100mN3258400E4551700;4551750;3258450;21;–;–;5;9;6
CRS3035RES100mN3258400E4551800;4551850;3258450;37;7;6;3;14;8
CRS3035RES100mN3258400E4551900;4551950;3258450;51;8;3;10;13;22
CRS3035RES100mN3258400E4552000;4552050;3258450;70;12;3;16;14;22
CRS3035RES100mN3258400E4552200;4552250;3258450;83;6;19;23;19;13
CRS3035RES100mN3258400E4552300;4552350;3258450;83;11;15;25;18;16
CRS3035RES100mN3258400E4552400;4552450;3258450;29;3;–;3;7;18
CRS3035RES100mN3258400E4552500;4552550;3258450;33;4;4;3;12;12
CRS3035RES100mN3258400E4552600;4552650;3258450;71;21;9;20;10;4
CRS3035RES100mN3258400E4552700;4552750;3258450;47;8;8;16;6;8
CRS3035RES100mN3258400E4552800;4552850;3258450;54;10;9;17;10;7
CRS3035RES100mN3258400E4552900;4552950;3258450;24;7;3;11;–;4
CRS3035RES100mN3258400E4553000;4553050;3258450;36;6;5;6;13;3
CRS3035RES100mN3258400E4553100;4553150;3258450;31;4;3;3;7;14
CRS3035RES100mN3258400E4553200;4553250;3258450;45;5;6;4;15;15
CRS3035RES100mN3258400E4553300;4553350;3258450;36;–;4;6;13;13
CRS3035RES100mN3258400E4553400;4553450;3258450;33;4;4;3;3;18
CRS3035RES100mN3258400E4553500;4553550;3258450;30;8;5;10;7;–
CRS3035RES100mN3258400E4553600;4553650;3258450;37;6;4;5;11;11
CRS3035RES100mN3258400E4553700;4553750;3258450;42;10;4;9;12;13
CRS3035RES100mN3258400E4553800;4553850;3258450;38;14;3;13;3;7
CRS3035RES100mN3258400E4553900;4553950;3258450;46;7;6;6;16;16
CRS3035RES100mN3258400E4554000;4554050;3258450;36;4;–;8;7;15
CRS3035RES100mN3258400E4554100;4554150;3258450;59;4;6;11;21;17
CRS3035RES100mN3258400E4567100;4567150;3258450;7;–;–;3;–;5
CRS3035RES100mN3258400E4567200;4567250;3258450;22;7;3;10;–;3
CRS3035RES100mN3258400E4567300;4567350;3258450;16;3;4;3;3;4
CRS3035RES100mN3258400E4567400;4567450;3258450;5;–;–;–;–;–
CRS3035RES100mN3258400E4568900;4568950;3258450;3;–;–;–;–;3
CRS3035RES100mN3258400E4569000;4569050;3258450;31;5;3;9;4;9
CRS3035RES100mN3258400E4569100;4569150;3258450;27;5;–;9;6;9
CRS3035RES100mN3258400E4569300;4569350;3258450;7;–;–;–;–;–
CRS3035RES100mN3258400E4569400;4569450;3258450;33;7;3;11;7;7
CRS3035RES100mN3258400E4569500;4569550;3258450;18;3;3;–;9;5
CRS3035RES100mN3258500E4551600;4551650;3258550;35;11;3;7;3;13
CRS3035RES100mN3258500E4551700;4551750;3258550;32;6;–;8;8;8
CRS3035RES100mN3258500E4551800;4551850;3258550;51;8;6;9;17;11
CRS3035RES100mN3258500E4551900;4551950;3258550;59;9;12;15;15;13
CRS3035RES100mN3258500E4552000;4552050;3258550;140;13;16;52;29;36
CRS3035RES100mN3258500E4552300;4552350;3258550;117;16;20;17;30;27
CRS3035RES100mN3258500E4552400;4552450;3258550;78;11;9;21;21;9
CRS3035RES100mN3258500E4552500;4552550;3258550;111;18;16;38;18;24
CRS3035RES100mN3258500E4552600;4552650;3258550;51;5;3;6;9;28
CRS3035RES100mN3258500E4552700;4552750;3258550;31;3;3;6;11;11
CRS3035RES100mN3258500E4552800;4552850;3258550;158;5;8;7;34;97
CRS3035RES100mN3258500E4552900;4552950;3258550;30;4;–;7;3;11
CRS3035RES100mN3258500E4553000;4553050;3258550;14;4;–;7;3;–
CRS3035RES100mN3258500E4553100;4553150;3258550;20;3;3;–;7;5
CRS3035RES100mN3258500E4553200;4553250;3258550;41;6;4;10;12;11
CRS3035RES100mN3258500E4553300;4553350;3258550;43;7;6;8;8;15
CRS3035RES100mN3258500E4553400;4553450;3258550;24;3;4;3;10;3
CRS3035RES100mN3258500E4553500;4553550;3258550;49;11;5;13;15;6
CRS3035RES100mN3258500E4553600;4553650;3258550;36;4;3;9;10;16
CRS3035RES100mN3258500E4553700;4553750;3258550;34;7;3;6;7;12
CRS3035RES100mN3258500E4553800;4553850;3258550;30;3;3;6;13;6
CRS3035RES100mN3258500E4553900;4553950;3258550;36;7;–;8;11;14
CRS3035RES100mN3258500E4554000;4554050;3258550;32;4;–;3;10;8
CRS3035RES100mN3258500E4554100;4554150;3258550;60;10;–;12;16;19
CRS3035RES100mN3258500E4567200;4567250;3258550;16;5;4;6;3;–
CRS3035RES100mN3258500E4567300;4567350;3258550;31;10;–;8;6;5
CRS3035RES100mN3258500E4567400;4567450;3258550;19;–;–;3;8;3
CRS3035RES100mN3258500E4567500;4567550;3258550;28;4;–;12;7;5
CRS3035RES100mN3258500E4568900;4568950;3258550;3;–;–;–;3;–
CRS3035RES100mN3258500E4569000;4569050;3258550;6;–;–;3;–;3
CRS3035RES100mN3258500E4569100;4569150;3258550;34;7;–;8;5;15
CRS3035RES100mN3258500E4569200;4569250;3258550;6;3;–;–;–;3
CRS3035RES100mN3258500E4569400;4569450;3258550;4;–;–;–;–;3
CRS3035RES100mN3258500E4569500;4569550;3258550;16;6;–;3;7;5
